Precursor m/z,Fragment m/z,Fragment Intensity
"Precursor(Weight=535.772527, Charge=2)",259.1125793457031,190.04892
"Precursor(Weight=535.772527, Charge=2)",259.4632568359375,79.265495
"Precursor(Weight=535.772527, Charge=2)",261.0558166503906,53.001667
"Precursor(Weight=535.772527, Charge=2)",261.1429443359375,308.77582
"Precursor(Weight=535.772527, Charge=2)",274.1373291015625,28.336111
"Precursor(Weight=535.772527, Charge=2)",279.12841796875,215.23364
"Precursor(Weight=535.772527, Charge=2)",281.1248474121094,108.204544
"Precursor(Weight=535.772527, Charge=2)",284.1016845703125,89.90028
"Precursor(Weight=535.772527, Charge=2)",285.1217041015625,101.74074
"Precursor(Weight=535.772527, Charge=2)",288.0924377441406,35.129032
"Precursor(Weight=535.772527, Charge=2)",288.4584655761719,49.006943
"Precursor(Weight=535.772527, Charge=2)",291.8135986328125,52.29762
"Precursor(Weight=535.772527, Charge=2)",298.5974426269531,19.560184
"Precursor(Weight=535.772527, Charge=2)",304.89666748046875,23.160715
"Precursor(Weight=535.772527, Charge=2)",305.13458251953125,152.46945
"Precursor(Weight=535.772527, Charge=2)",308.15618896484375,164.56903
"Precursor(Weight=535.772527, Charge=2)",309.1572265625,30.52016
"Precursor(Weight=535.772527, Charge=2)",312.1582946777344,91.916534
"Precursor(Weight=535.772527, Charge=2)",316.7967224121094,12.892858
"Precursor(Weight=535.772527, Charge=2)",319.1203918457031,122.03034
"Precursor(Weight=535.772527, Charge=2)",323.1356506347656,61.160088
"Precursor(Weight=535.772527, Charge=2)",325.1800231933594,191.805
"Precursor(Weight=535.772527, Charge=2)",325.1891784667969,195.57657
"Precursor(Weight=535.772527, Charge=2)",327.1648254394531,167.01086
"Precursor(Weight=535.772527, Charge=2)",331.1260681152344,47.675674
"Precursor(Weight=535.772527, Charge=2)",334.1321716308594,189.23251
"Precursor(Weight=535.772527, Charge=2)",334.1697082519531,10.008333
"Precursor(Weight=535.772527, Charge=2)",334.328125,47.625
"Precursor(Weight=535.772527, Charge=2)",335.6410827636719,83.938774
"Precursor(Weight=535.772527, Charge=2)",339.159423828125,106.77778
"Precursor(Weight=535.772527, Charge=2)",341.1453857421875,510.7484
"Precursor(Weight=535.772527, Charge=2)",342.1530456542969,65.00198
"Precursor(Weight=535.772527, Charge=2)",349.1622619628906,324.57837
"Precursor(Weight=535.772527, Charge=2)",353.172607421875,134.34131
"Precursor(Weight=535.772527, Charge=2)",354.1635437011719,58.96154
"Precursor(Weight=535.772527, Charge=2)",354.17742919921875,66.79717
"Precursor(Weight=535.772527, Charge=2)",356.20220947265625,16.333334
"Precursor(Weight=535.772527, Charge=2)",356.2146911621094,82.64
"Precursor(Weight=535.772527, Charge=2)",357.25225830078125,78.68056
"Precursor(Weight=535.772527, Charge=2)",358.1739196777344,272.2754
"Precursor(Weight=535.772527, Charge=2)",371.1875,64.00641
"Precursor(Weight=535.772527, Charge=2)",372.1898498535156,54.07
"Precursor(Weight=535.772527, Charge=2)",374.2001953125,75.40833
"Precursor(Weight=535.772527, Charge=2)",374.2223205566406,151.10013
"Precursor(Weight=535.772527, Charge=2)",375.23126220703125,50.653984
"Precursor(Weight=535.772527, Charge=2)",379.9375915527344,95.875
"Precursor(Weight=535.772527, Charge=2)",383.19140625,127.5632
"Precursor(Weight=535.772527, Charge=2)",390.7322082519531,40.445652
"Precursor(Weight=535.772527, Charge=2)",406.1824645996094,47.580357
"Precursor(Weight=535.772527, Charge=2)",409.2093200683594,33.375
"Precursor(Weight=535.772527, Charge=2)",411.03033447265625,86.18369
"Precursor(Weight=535.772527, Charge=2)",412.21746826171875,327.7128
"Precursor(Weight=535.772527, Charge=2)",416.1495361328125,27.473684
"Precursor(Weight=535.772527, Charge=2)",417.1524963378906,188.4
"Precursor(Weight=535.772527, Charge=2)",420.2602844238281,61.564102
"Precursor(Weight=535.772527, Charge=2)",422.20526123046875,139.03592
"Precursor(Weight=535.772527, Charge=2)",432.7274169921875,263.03418
"Precursor(Weight=535.772527, Charge=2)",432.7889709472656,17.240385
"Precursor(Weight=535.772527, Charge=2)",433.1734313964844,42.370613
"Precursor(Weight=535.772527, Charge=2)",438.0433654785156,20.020834
"Precursor(Weight=535.772527, Charge=2)",440.1773681640625,19.532894
"Precursor(Weight=535.772527, Charge=2)",440.216064453125,498.82617
"Precursor(Weight=535.772527, Charge=2)",441.21484375,57.344177
"Precursor(Weight=535.772527, Charge=2)",445.3363952636719,30.964285
"Precursor(Weight=535.772527, Charge=2)",452.25018310546875,22.242647
"Precursor(Weight=535.772527, Charge=2)",453.2242431640625,51.288265
"Precursor(Weight=535.772527, Charge=2)",454.22869873046875,180.78226
"Precursor(Weight=535.772527, Charge=2)",457.59991455078125,50.441177
"Precursor(Weight=535.772527, Charge=2)",457.9255676269531,157.28572
"Precursor(Weight=535.772527, Charge=2)",461.70745849609375,35.10061
"Precursor(Weight=535.772527, Charge=2)",462.1925048828125,42.054825
"Precursor(Weight=535.772527, Charge=2)",465.20257568359375,27.032143
"Precursor(Weight=535.772527, Charge=2)",466.1408386230469,69.14405
"Precursor(Weight=535.772527, Charge=2)",468.20361328125,173.40334
"Precursor(Weight=535.772527, Charge=2)",469.19390869140625,135.98376
"Precursor(Weight=535.772527, Charge=2)",470.2455139160156,37.041668
"Precursor(Weight=535.772527, Charge=2)",471.1767272949219,140.89197
"Precursor(Weight=535.772527, Charge=2)",471.26226806640625,77.041664
"Precursor(Weight=535.772527, Charge=2)",472.2439270019531,97.45588
"Precursor(Weight=535.772527, Charge=2)",481.0863037109375,54.666668
"Precursor(Weight=535.772527, Charge=2)",483.207275390625,32.06579
"Precursor(Weight=535.772527, Charge=2)",484.1634216308594,28.149391
"Precursor(Weight=535.772527, Charge=2)",484.1940002441406,60.085106
"Precursor(Weight=535.772527, Charge=2)",484.2718811035156,64.189186
"Precursor(Weight=535.772527, Charge=2)",492.16845703125,106.14535
"Precursor(Weight=535.772527, Charge=2)",495.26068115234375,87.5
"Precursor(Weight=535.772527, Charge=2)",496.49163818359375,68.68166
"Precursor(Weight=535.772527, Charge=2)",496.51971435546875,26.969828
"Precursor(Weight=535.772527, Charge=2)",498.61676025390625,72.93023
"Precursor(Weight=535.772527, Charge=2)",500.3491516113281,137.65785
"Precursor(Weight=535.772527, Charge=2)",501.0652770996094,103.96162
"Precursor(Weight=535.772527, Charge=2)",508.26568603515625,264.74188
"Precursor(Weight=535.772527, Charge=2)",509.2311096191406,43.55585
"Precursor(Weight=535.772527, Charge=2)",513.2788696289062,74.122665
"Precursor(Weight=535.772527, Charge=2)",519.7052612304688,20.75
"Precursor(Weight=535.772527, Charge=2)",519.7671508789062,193.1437
"Precursor(Weight=535.772527, Charge=2)",523.2607421875,69.08889
"Precursor(Weight=535.772527, Charge=2)",524.2189331054688,100.63021
"Precursor(Weight=535.772527, Charge=2)",525.7357788085938,71.63269
"Precursor(Weight=535.772527, Charge=2)",536.2408447265625,30.964285
"Precursor(Weight=535.772527, Charge=2)",536.2943725585938,64.58036
"Precursor(Weight=535.772527, Charge=2)",536.7677001953125,139.72429
"Precursor(Weight=535.772527, Charge=2)",537.266357421875,123.828445
"Precursor(Weight=535.772527, Charge=2)",538.7001342773438,12.675
"Precursor(Weight=535.772527, Charge=2)",540.1204833984375,48.260418
"Precursor(Weight=535.772527, Charge=2)",540.7868041992188,102.03149
"Precursor(Weight=535.772527, Charge=2)",551.2379760742188,114.656815
"Precursor(Weight=535.772527, Charge=2)",551.5022583007812,167.26785
"Precursor(Weight=535.772527, Charge=2)",551.559326171875,10.160714
"Precursor(Weight=535.772527, Charge=2)",558.762939453125,156.48405
"Precursor(Weight=535.772527, Charge=2)",559.3510131835938,12.0
"Precursor(Weight=535.772527, Charge=2)",564.278564453125,16.240385
"Precursor(Weight=535.772527, Charge=2)",568.0106201171875,18.0625
"Precursor(Weight=535.772527, Charge=2)",569.2589721679688,487.4166
"Precursor(Weight=535.772527, Charge=2)",569.3377685546875,14.005
"Precursor(Weight=535.772527, Charge=2)",569.652587890625,33.00862
"Precursor(Weight=535.772527, Charge=2)",570.2315063476562,73.96196
"Precursor(Weight=535.772527, Charge=2)",571.257080078125,163.80064
"Precursor(Weight=535.772527, Charge=2)",571.3240356445312,50.456818
"Precursor(Weight=535.772527, Charge=2)",571.9783935546875,71.14815
"Precursor(Weight=535.772527, Charge=2)",579.2916259765625,29.84091
"Precursor(Weight=535.772527, Charge=2)",580.232666015625,13.005
"Precursor(Weight=535.772527, Charge=2)",580.4524536132812,19.339285
"Precursor(Weight=535.772527, Charge=2)",581.2887573242188,15.045
"Precursor(Weight=535.772527, Charge=2)",582.27490234375,102.08877
"Precursor(Weight=535.772527, Charge=2)",582.2903442382812,53.886627
"Precursor(Weight=535.772527, Charge=2)",583.281005859375,91.560486
"Precursor(Weight=535.772527, Charge=2)",584.2685546875,42.04348
"Precursor(Weight=535.772527, Charge=2)",586.2818603515625,559.4828
"Precursor(Weight=535.772527, Charge=2)",586.3548583984375,77.3141
"Precursor(Weight=535.772527, Charge=2)",587.3734741210938,29.881098
"Precursor(Weight=535.772527, Charge=2)",587.8244018554688,12.375
"Precursor(Weight=535.772527, Charge=2)",590.5302734375,45.197582
"Precursor(Weight=535.772527, Charge=2)",591.9583740234375,187.01234
"Precursor(Weight=535.772527, Charge=2)",592.220947265625,29.473684
"Precursor(Weight=535.772527, Charge=2)",596.3038940429688,150.40665
"Precursor(Weight=535.772527, Charge=2)",600.2952270507812,20.0
"Precursor(Weight=535.772527, Charge=2)",601.29296875,80.76087
"Precursor(Weight=535.772527, Charge=2)",602.2988891601562,38.04762
"Precursor(Weight=535.772527, Charge=2)",603.2338256835938,53.041668
"Precursor(Weight=535.772527, Charge=2)",603.3407592773438,116.139244
"Precursor(Weight=535.772527, Charge=2)",617.8062744140625,118.78261
"Precursor(Weight=535.772527, Charge=2)",625.9791870117188,106.280174
"Precursor(Weight=535.772527, Charge=2)",626.3320922851562,132.31601
"Precursor(Weight=535.772527, Charge=2)",626.708984375,257.00455
"Precursor(Weight=535.772527, Charge=2)",626.8201293945312,11.025
"Precursor(Weight=535.772527, Charge=2)",636.8198852539062,57.735
"Precursor(Weight=535.772527, Charge=2)",637.3208618164062,71.449715
"Precursor(Weight=535.772527, Charge=2)",653.6023559570312,17.654411
"Precursor(Weight=535.772527, Charge=2)",657.4361572265625,19.845
"Precursor(Weight=535.772527, Charge=2)",662.2857055664062,41.002357
"Precursor(Weight=535.772527, Charge=2)",662.3157348632812,26.205
"Precursor(Weight=535.772527, Charge=2)",671.3655395507812,32.232143
"Precursor(Weight=535.772527, Charge=2)",679.303955078125,73.37061
"Precursor(Weight=535.772527, Charge=2)",679.3610229492188,18.005953
"Precursor(Weight=535.772527, Charge=2)",679.8590698242188,24.07622
"Precursor(Weight=535.772527, Charge=2)",680.2979736328125,39.45
"Precursor(Weight=535.772527, Charge=2)",680.4938354492188,12.0
"Precursor(Weight=535.772527, Charge=2)",681.2945556640625,16.160715
"Precursor(Weight=535.772527, Charge=2)",686.9940185546875,24.2
"Precursor(Weight=535.772527, Charge=2)",687.5863647460938,57.38409
"Precursor(Weight=535.772527, Charge=2)",690.8635864257812,35.14939
"Precursor(Weight=535.772527, Charge=2)",695.3764038085938,71.50798
"Precursor(Weight=535.772527, Charge=2)",697.2286987304688,199.29846
"Precursor(Weight=535.772527, Charge=2)",697.3143310546875,1858.808
"Precursor(Weight=535.772527, Charge=2)",697.3741455078125,23.242647
"Precursor(Weight=535.772527, Charge=2)",697.4226684570312,10.007353
"Precursor(Weight=535.772527, Charge=2)",698.0110473632812,22.16554
"Precursor(Weight=535.772527, Charge=2)",698.2660522460938,116.416664
"Precursor(Weight=535.772527, Charge=2)",698.3234252929688,293.35226
"Precursor(Weight=535.772527, Charge=2)",699.3099975585938,64.97059
"Precursor(Weight=535.772527, Charge=2)",699.3524169921875,38.29657
"Precursor(Weight=535.772527, Charge=2)",699.5459594726562,29.055555
"Precursor(Weight=535.772527, Charge=2)",700.0593872070312,17.5
"Precursor(Weight=535.772527, Charge=2)",700.7028198242188,83.15625
"Precursor(Weight=535.772527, Charge=2)",701.769287109375,76.814514
"Precursor(Weight=535.772527, Charge=2)",710.3507080078125,178.0225
"Precursor(Weight=535.772527, Charge=2)",710.404052734375,17.471153
"Precursor(Weight=535.772527, Charge=2)",714.3310546875,79.46747
"Precursor(Weight=535.772527, Charge=2)",715.3182983398438,31.285715
"Precursor(Weight=535.772527, Charge=2)",715.3418579101562,24.204546
"Precursor(Weight=535.772527, Charge=2)",715.71826171875,16.875
"Precursor(Weight=535.772527, Charge=2)",716.05126953125,63.001923
"Precursor(Weight=535.772527, Charge=2)",724.044677734375,255.10652
"Precursor(Weight=535.772527, Charge=2)",727.35205078125,84.578606
"Precursor(Weight=535.772527, Charge=2)",730.3273315429688,40.445652
"Precursor(Weight=535.772527, Charge=2)",730.3772583007812,77.24808
"Precursor(Weight=535.772527, Charge=2)",731.3432006835938,69.810974
"Precursor(Weight=535.772527, Charge=2)",732.2536010742188,36.00431
"Precursor(Weight=535.772527, Charge=2)",738.4107666015625,227.22318
"Precursor(Weight=535.772527, Charge=2)",740.4642944335938,100.78722
"Precursor(Weight=535.772527, Charge=2)",741.3839721679688,86.80556
"Precursor(Weight=535.772527, Charge=2)",748.3555908203125,15.090909
"Precursor(Weight=535.772527, Charge=2)",756.2156982421875,17.111841
"Precursor(Weight=535.772527, Charge=2)",763.882080078125,50.004032
"Precursor(Weight=535.772527, Charge=2)",765.353271484375,64.03226
"Precursor(Weight=535.772527, Charge=2)",765.38232421875,101.013885
"Precursor(Weight=535.772527, Charge=2)",776.3621826171875,23.272728
"Precursor(Weight=535.772527, Charge=2)",778.79443359375,261.62076
"Precursor(Weight=535.772527, Charge=2)",782.27685546875,24.571428
"Precursor(Weight=535.772527, Charge=2)",782.3949584960938,46.076923
"Precursor(Weight=535.772527, Charge=2)",783.4049072265625,197.78758
"Precursor(Weight=535.772527, Charge=2)",792.3779907226562,33.791668
"Precursor(Weight=535.772527, Charge=2)",793.3611450195312,229.3544
"Precursor(Weight=535.772527, Charge=2)",793.3934326171875,199.78722
"Precursor(Weight=535.772527, Charge=2)",794.3673095703125,75.25641
"Precursor(Weight=535.772527, Charge=2)",798.3228759765625,71.14959
"Precursor(Weight=535.772527, Charge=2)",804.1463623046875,24.107143
"Precursor(Weight=535.772527, Charge=2)",808.5753784179688,234.03125
"Precursor(Weight=535.772527, Charge=2)",810.3919677734375,1352.386
"Precursor(Weight=535.772527, Charge=2)",811.4014892578125,600.45667
"Precursor(Weight=535.772527, Charge=2)",812.4036254882812,110.22951
"Precursor(Weight=535.772527, Charge=2)",813.7389526367188,38.018444
"Precursor(Weight=535.772527, Charge=2)",813.8573608398438,37.476696
"Precursor(Weight=535.772527, Charge=2)",813.95361328125,18.0
